GeneSymbol	log2FC	|log2FC|	AveExpr	t	P.Value	adj.P.Val	M-Cell1	M-Cell2	M-Cell3	M-Cell4	Y79_1	Y79_2	Y79_3	Y79_4	Y79_5
ARL17B	-2.00811520559633	2.00811520559633	3.47304905644619	-4.85836294212749	0.001058966700543	0.00561659921186	1.135307	2.194687	2.474674	0	15.179928	9.696501	4.310918	9.017194	8.556637
UPF3B	-2.007449	2.007449	6.420807	-3.598021	0.006336473	0.02137097	8.841171	22.678658	12.153489	2.087185	50.430679	50.368509	54.305257	45.497924	51.913259
DYRK3	2.006833	2.006833	4.749106	10.73804	3.12E-06	0.0001372239	14.015087	31.930045	20.78277	26.415678	2.275016	2.546379	3.528568	3.328241	2.168559
SV2B	-2.005922	2.005922	4.2369	-4.117945	0.002946636	0.01202405	0.120685	4.156512	2.843045	0.420806	12.552872	5.008124	12.305158	8.736389	9.585545
BEX2	2.00484468530243	2.00484468530243	4.76383174768987	8.66387848776368	1.68E-05	0.000337650852533	10.223988	20.451307	21.551591	28.073417	1.272304	3.161086	2.729631	2.981238	1.290632
GLIS3	2.002592	2.002592	2.08458	14.73455	2.40E-07	5.05E-05	5.550039	7.412027	7.190237	3.511693	0	0	0	0	0.005587
LLPH	2.000933	2.000933	3.527052	6.843227	9.92E-05	0.00106977	7.592659	19.283915	15.396786	7.630155	0.355292	0.675353	2.25344	0.770041	0.003315
OAF	2.000885	2.000885	2.976976	10.2242	4.60E-06	0.0001665102	4.852717	9.30315	17.2749	4.880811	0.107523	0.183075	0.116699	0.242066	0.134615
PCDH10	2.000743	2.000743	2.611335	4.768521	0.001193865	0.006163527	3.289546	22.03676	18.740673	2.131834	0.055519	0.113549	0.12927	0.031537	0.130875
MYBL2	-1.999923	1.999923	6.590588	-3.942517	0.003799247	0.01439956	25.702656	13.09231	18.411747	3.744237	63.296107	70.292801	67.116637	79.585219	63.841586
ARC	-1.99956806590538	1.99956806590538	2.82938438370457	-7.37655501253167	5.70E-05	0.000731528295731	0.68327	0.185916	0.915903	1.015229	5.837775	4.931046	6.643697	8.506681	5.415864
CNTNAP5	-1.996656	1.996656	2.943003	-19.17746	2.72E-08	3.85E-05	0.088498	0.714277	0.673508	1.009565	6.630802	7.912702	5.680236	5.048647	5.571692
PCBP4	-1.994376	1.994376	9.789335	-7.459986	5.24E-05	0.0006939207	34.220427	28.195688	61.538815	59.248619	201.831892	271.977673	256.850756	323.518792	256.678971
HILPDA	1.994202	1.994202	4.440514	8.005244	3.08E-05	0.0004871717	9.472181	21.654329	17.975046	25.909613	2.152414	1.648858	2.93514	1.522673	1.639992
UQCRHL	1.993061	1.993061	3.717103	4.663296	0.001375923	0.006845532	14.296247	6.542668	7.048185	24.945873	0.072524	0.444431	1.07384	1.505343	1.643022
SACS	1.992169	1.992169	5.728297	8.574032	1.82E-05	0.0003554959	25.882885	54.823516	37.405983	31.239794	7.39158	5.934566	4.628445	4.916566	4.95438
PLGLB1	-1.991131	1.991131	1.884247	-11.52578	1.77E-06	0.0001034418	0	0	0	0	3.438186	3.271114	3.656148	2.888041	2.816341
ARHGAP18	1.9907071593867	1.9907071593867	2.3485182954352	7.3415186126488	5.91E-05	0.000748772724218	2.422085	9.924212	6.30777	6.622858	0.021041	0	0.01035	0	0
ASPHD1	-1.98985524449628	1.98985524449628	3.1397973523445	-8.68777576122506	1.65E-05	0.000333156275255	0.415243	0.739436	1.609176	1.08	5.947331	6.008411	7.56184	9.513236	6.488066
MYO7A	-1.988889	1.988889	2.960995	-14.12921	3.39E-07	5.54E-05	0.335716	0.695369	0.626753	0.893001	6.771576	5.065348	6.142876	6.44082	5.957051
DNM1	-1.988802	1.988802	6.305103	-3.839392	0.004420389	0.01625189	5.467012	14.348352	17.281109	2.325136	81.687339	34.406806	38.822071	42.021608	39.19253
FIS1	1.985828	1.985828	6.242827	5.472335	0.0004813617	0.003204318	34.780193	26.766768	53.96769	102.284264	7.252747	8.942304	5.965849	9.471764	7.584878
P3H3	-1.985498	1.985498	6.190844	-8.415563	2.10E-05	0.0003871814	4.672655	5.091477	11.54472	9.357586	48.202179	50.027979	42.296121	55.259763	29.782092
C14orf37	1.98472335159003	1.98472335159003	2.41452214335607	7.42418968966338	5.43E-05	0.000708066157306	4.538892	6.26918	5.291204	8.266061	0.104687	0.056043	0.042334	0.027749	0.021214
DUSP7	-1.982095	1.982095	4.63857	-4.691762	0.001323885	0.006658843	1.590219	6.546121	7.094069	1.076104	14.691868	13.088211	20.141675	22.029143	17.919127
DDAH1	1.981455	1.981455	4.176901	5.610272	0.0004061568	0.002853633	12.777888	32.692779	22.62837	5.562343	1.287144	0.855381	1.634099	1.36745	1.59751
FAT3	1.980809	1.980809	2.322172	5.063612	0.0008087669	0.004627595	7.77918	3.545684	2.79529	9.175382	0.002383	0	0.007034	0.004882	0
LLGL2	-1.980798	1.980798	3.463054	-13.48246	4.97E-07	6.18E-05	0.293563	0.573049	0.770147	1.933179	8.273151	6.840322	6.558013	8.330238	6.875165
EBF4	-1.98038	1.98038	2.784877	-13.47169	5.00E-07	6.18E-05	0.438957	0.371159	0.600414	0.485721	6.089555	4.359827	4.47138	5.89145	5.544478
ACE	-1.9791134758897	1.9791134758897	2.23117762165734	-8.53716367460378	1.88E-05	0.000361202031996	0.104085	0.254467	0.546194	0	3.596661	2.65811	4.160861	4.453378	4.300318
FRAS1	1.979064	1.979064	2.121468	5.563396	0.0004301694	0.002969228	7.805256	3.769825	3.517812	7.543805	0.04848	0.043538	0.028751	0.042953	0.022733
SGCD	-1.977886	1.977886	2.712093	-8.847229	1.43E-05	0.0003060213	0.049817	1.255981	1.038276	0.200252	5.07118	4.533958	5.5793	5.598934	5.594379
CCDC124	-1.975834	1.975834	6.595996	-3.289146	0.01015511	0.030416929798257	9.98323	17.461327	32.10997	2.289566	56.135986	52.2557	53.178175	77.615889	51.222617
THRA	1.973807	1.973807	5.080485	9.404213	8.89E-06	0.0002331532	10.580303	30.603408	45.011102	29.13421	3.516805	2.932852	3.246923	3.837012	3.435373
SATB1	1.973068	1.973068	2.589009	12.17929	1.13E-06	8.46E-05	5.438926	8.084146	6.106332	4.953485	0	0	0.009153	0	0.013661
FSTL5	-1.968668	1.968668	4.84444	-4.01778	0.003404965	0.01327674	0.187812	4.967032	4.115713	0.912776	12.34639	10.250223	13.0896	10.408914	12.153899
FN3K	-1.966615	1.966615	3.836818	-3.131304	0.01297747	0.03670798	0.439752	6.009854	6.252001	0	3.359736	11.6048	12.157669	15.598339	13.135637
PDE4DIP	1.966291	1.966291	3.640361	6.595371	0.0001297608	0.0012837	7.064602	7.006919	6.195738	18.295471	0.479539	0.443973	0.528929	0.65463	0.524468
FUOM	1.965677	1.965677	2.094422	3.433905	0.008129439	0.02577987	4.231998	0.960539	7.645908	14.999168	0.004425	0.004304	0.004354	0	0
IRS1	-1.96366	1.96366	3.714752	-7.304079	6.13E-05	0.0007669782	2.674706	1.201767	1.60162	1.025802	8.743699	10.470753	10.252262	11.21151	9.759519
ARL4D	-1.96045480259999	1.96045480259999	4.79591642882015	-6.47199647404133	0.000148707125645	0.00139528169603	2.135566	0.972513	2.56104	6.18704	19.409742	12.558077	14.882506	21.632122	17.204262
ACTL6B	-1.95879706642175	1.95879706642175	4.66470569445291	-4.78200141118209	0.001172490585803	0.006087186749161	1.673319	1.308774	1.739998	9.064831	16.217613	14.309461	18.82999	22.944871	15.913156
MAP6	1.95859	1.95859	4.906509	5.556212	0.0004339842	0.002991608	31.571259	12.517393	10.519039	34.815148	1.403397	2.657629	3.269546	3.335183	2.403666
ARID3A	-1.95676779344805	1.95676779344805	3.2989400429223	-10.6534881808176	3.32E-06	0.000143331778616	0.851425	1.048519	1.310851	1.116625	9.713464	8.382075	8.094243	5.00481	10.992386
FHOD3	-1.955469	1.955469	6.209326	-6.191113	0.0002042056	0.001739734	4.809655	10.13258	11.074174	3.946276	38.743726	38.360515	39.681542	42.896495	38.314838
FOXN4	-1.954996	1.954996	2.611561	-10.36977	4.12E-06	0.000161306	0.500869	0.458292	0.843734	0.175131	5.741862	4.162442	4.834524	5.128471	4.645521
TYMS	-1.95358	1.95358	8.008568	-5.962027	0.0002664229	0.002109629	15.575596	40.298229	47.10305	14.39991	139.519641	188.687416	123.418215	184.218117	115.543117
NEFH	-1.952846	1.952846	5.616861	-4.366754	0.002070583	0.009259566	5.345898	13.127393	15.014019	2.181025	33.082149	36.104491	23.280756	55.781288	44.329964
CNN2	-1.952074	1.952074	5.904808	-4.165073	0.002754242	0.011428723179425	11.368147	1.880121	4.633484	14.108605	40.643441	49.677901	46.994186	40.063472	28.39718
C14orf169	1.95103102069413	1.95103102069413	2.41037501990703	7.21547717341713	6.72E-05	0.000817949787361	4.735553	4.171421	6.352027	8.28229	0.077302	0.018859	0	0.039592	0
MLXIPL	-1.950526	1.950526	2.195307	-9.515049	8.11E-06	0.0002239313	0.055089	0.330004	0.52959	0	4.247185	2.789679	3.420911	4.782789	3.747251
MYCL	1.950128	1.950128	2.82931	3.045422	0.01484554	0.04070218	14.878796	3.097714	3.105702	23.79312	0.589993	0.143406	0.484303	0.463611	0.457268
FZD2	-1.949659	1.949659	2.994912	-10.58175	3.50E-06	0.0001479961	0.514035	0.499813	0.517445	1.372859	6.749644	8.232272	4.410624	8.254871	5.711073
PRDX4	1.94799	1.94799	8.7605	6.362926	0.0001680034	0.001514247	121.487419	120.310982	154.144058	420.062622	37.616019	29.707571	43.00195	38.729653	30.890858
CAMK2B	-1.94748727631149	1.94748727631149	3.47323697956218	-9.43734832349629	8.65E-06	0.00023108795426	0.144805	0.942767	1.523074	1.486186	6.710619	4.912899	7.252187	9.302365	8.011328
ZNF536	1.947454	1.947454	3.279425	7.404841	5.54E-05	0.0007150272	5.625994	6.919539	11.411102	12.979925	0.678893	0.604949	0.443054	0.268255	0.330462
CCDC64	-1.947165	1.947165	3.553331	-12.05795	1.23E-06	8.71E-05	0.300755	0.393399	0.755567	2.008395	6.283378	6.116125	7.044599	7.861841	6.964891
PTPRN	-1.947136	1.947136	3.928134	-10.26819	4.45E-06	0.0001656414	0.420596	0.990795	2.441655	2.252764	9.44661	8.053748	10.802843	9.756725	9.505435
SYN1	-1.946681	1.946681	3.008272	-6.325147	0.0001753144	0.00155967	0.404248	1.87251	1.57261	0	5.413023	7.588543	5.043372	7.519573	5.426934
SESN2	-1.944914	1.944914	4.804488	-9.521825	8.07E-06	0.0002230775	2.315962	2.387994	5.570014	4.458995	20.037983	18.164129	19.837956	22.585381	19.224868
TYRO3	1.944821	1.944821	3.381354	4.891716	0.001013165	0.005450968	10.260002	5.077081	10.928406	21.392513	0.733686	0.434729	0.683435	1.16254	0.769408
TEX14	-1.943972	1.943972	2.76987	-11.9025	1.37E-06	8.83E-05	0.050812	0.860288	0.645726	0.717173	4.374817	5.315469	5.112038	5.278778	6.776573
KAZN	1.943367	1.943367	2.593767	7.755511	3.91E-05	0.0005779378	4.031005	14.424144	10.343047	3.270066	0.114498	0.083091	0.081612	0.093833	0.032937
MDP1	1.942238	1.942238	3.114148	4.744085	0.001233692	0.006303065	5.190133	5.285467	6.266238	19.5152	0.35086	0.000553	0.380394	0.269367	0.700627
GTF2H2	-1.940283	1.940283	3.664441	-3.45895	0.007824434	0.02505915	6.975293	1.37077	1.445191	0	10.269515	11.259468	10.896967	7.129563	8.977495
OSBP2	-1.937607	1.937607	4.455673	-5.616591	0.000403033	0.002841347	0.751834	2.715125	4.125984	1.013172	12.518037	10.207018	12.501451	9.915682	11.13474
SULT1A4	-1.936691	1.936691	1.840654	-12.5522	8.89E-07	7.67E-05	0	0	0	0	3.94065	3.071899	2.63987	3.541961	2.145702
LRRC37A2	-1.93574	1.93574	4.109917	-5.762385	0.0003377771	0.002516111	1.217171	5.428256	3.289457	0.75129	11.831369	13.115067	11.872616	12.781419	13.360658
IFIT5	1.93521	1.93521	2.316302	4.486561	0.001752697	0.008209564	4.744884	3.596448	2.872845	11.93533	0	0	0	0	0.012308
RNF208	-1.934291	1.934291	3.770667	-3.764209	0.004940912	0.01770874	0.856515	3.933144	9.285516	0.106594	8.256528	10.064088	11.588189	14.696752	10.572051
RALA	-1.932743	1.932743	6.948584	-8.304867	2.33E-05	0.0004079951	7.306854	17.443933	14.147715	9.209288	63.206238	60.232128	72.137563	57.179714	76.525647
TSPAN12	1.932607	1.932607	2.078789	9.478733	8.36E-06	0.0002275172	6.972876	5.624918	4.952309	4.459623	0.032547	0.065707	0.06495	0	0.017661
TMSB15A	-1.929114	1.929114	7.041674	-3.216253	0.01136916	0.03325905	27.734177	3.476613	5.843492	45.753635	92.002831	95.647728	69.561424	88.477798	84.298714
QKI	1.928806	1.928806	4.775916	10.62264	3.40E-06	0.0001450837	18.782381	31.400439	23.941506	15.225839	2.605628	3.097644	3.196579	3.462098	1.729846
ADCY8	1.92794217388011	1.92794217388011	2.01276107219648	10.7555832200214	3.08E-06	0.000137217705773	4.325698	5.02775	6.195728	5.048233	0.006811	0.006059	0	0	0.016644
NOTCH2NL	1.927444	1.927444	2.607732	8.018127	3.04E-05	0.0004836928	3.25584	12.027971	9.765894	3.443775	0	0	0.05054	0	0
PPM1E	-1.927133	1.927133	5.565886	-9.406275	8.87E-06	0.0002331429	3.72084	7.099811	4.629388	3.950528	25.435454	26.163112	32.451444	23.802381	27.978808
PLEKHG1	1.927085	1.927085	2.366758	8.327507	2.28E-05	0.0004036356	9.044113	5.287105	5.21538	3.912006	0.020534	0.009913	0.00498	0.005151	0.005329
ILDR2	1.925201	1.925201	3.8543	4.583608	0.001533706	0.007415982	5.11562	29.058151	21.169815	4.51771	0.809035	0.69493	0.715245	0.933834	0.73248
PALM3	-1.923881	1.923881	2.174802	-8.12216	2.76E-05	0.0004602745	0.727233	0.104886	0.177982	0	3.842191	3.330019	3.343301	4.840724	3.896506
CLDN19	-1.923595	1.923595	1.960111	-5.592748	0.0004149578	0.002893469277119	0.021255	0.046902	0	0	1.45446	6.699737	2.796679	5.312011	1.350097
PHF1	-1.921976	1.921976	5.438026	-8.534451	1.89E-05	0.0003616447	3.826677	2.254617	5.693125	7.067974	26.465094	23.876076	24.378338	29.173035	24.497641
NUDCD2	1.920208	1.920208	5.321723	10.50573	3.71E-06	0.0001538373	20.261209	39.152802	25.622549	30.446655	5.159113	3.829057	4.071796	5.122346	3.293208
KCNJ4	-1.920194	1.920194	2.72468	-6.533648	0.0001388853	0.001339177	0.949502	0	0.569738	1.083615	10.12634	10.263632	2.845291	3.264939	8.921807
FGFRL1	-1.918244	1.918244	5.138212	-9.367323	9.17E-06	0.0002371967	2.623229	6.367079	7.264911	3.319033	21.537304	33.034246	24.195534	19.323973	29.650817
ONECUT2	-1.917955	1.917955	2.944314	-11.50222	1.80E-06	0.0001045857	0.830162	0.83052	0.453112	0.393924	6.874497	7.54931	5.188532	4.365776	5.755556
RGR	1.91789	1.91789	2.662647	5.737631	0.0003479908	0.002575099	2.743096	13.433426	17.015843	2.812907	0.012499	0.043531	0.036329	0.03714	0.025446
PDLIM5	1.917571	1.917571	5.493236	10.36057	4.14E-06	0.000161973	32.733891	34.55088	27.058502	28.424175	5.447212	4.65431	5.130309	4.448072	3.879433
INPP5D	-1.915806	1.915806	2.055666	-6.450054	0.0001523846	0.001417384	0.220778	0.099519	0.120102	0	2.161379	2.029205	3.404302	5.117261	3.83783
RPL27	1.915587	1.915587	10.73197	8.276564	2.39E-05	0.000414626	411.752106	384.690247	797.853394	934.929993	78.256237	101.739873	88.195711	95.716546	141.454144
LZTS1	-1.915549	1.915549	4.103931	-5.208947	0.0006706891	0.004065018	3.236398	1.234659	2.332702	3.403768	7.587422	22.033055	17.835683	11.620671	17.437577
NDRG1	-1.915392	1.915392	5.247874	-3.03034	0.0152014	0.04151841	0.581901	11.099623	11.604929	1.083578	17.794217	8.524011	20.531728	25.685649	22.201236
DQX1	-1.914166	1.914166	2.067835	-3.851785	0.004340338	0.01601379	0.017692	0	0.289117	0	1.616059	1.164709	2.474623	10.788022	2.604064
TGFBI	1.913818	1.913818	2.295255	4.840237	0.001084794	0.00572844	2.017988	5.969667	10.02669	11.308934	0.114452	0.132448	0.12226	0.21653	0.163593
BBX	1.91295601386644	1.91295601386644	3.98959453124835	6.97342542986153	8.64E-05	0.000968938521985	9.70982	23.194566	15.647727	8.875606	1.657413	1.726995	0.97039	0.757156	1.668193
ZIC4	1.911963	1.911963	2.062119	2.88493	0.01912032	0.04951867	10.593805	1.257171	0.946462	13.436116	0	0	0	0	0.01141
CACNA2D4	-1.91169185338242	1.91169185338242	3.35496280221231	-5.15990914749314	0.00071418016602	0.004239126734359	0.126937	1.482065	1.323955	0	5.147822	4.020779	4.706499	6.11091	6.000368
TUBB	-1.911387	1.911387	12.52216	-6.971731	8.66E-05	0.0009699788	356.758223	224.311191	335.10487	255.35259	1126.254547	1287.271993	1164.727897	1287.382095	1130.66613
DMC1	-1.91132	1.91132	2.153158	-12.00731	1.27E-06	8.77E-05	0.178949	0	0	0.567555	4.394062	4.546035	3.583901	3.370386	3.577438
PAK4	-1.910936	1.910936	4.5088	-4.959367	0.0009267173	0.005110119	3.077225	3.181566	7.672569	1.209678	12.00967	16.158799	17.614434	22.936482	14.054767
KLF16	-1.910849	1.910849	5.134286	-5.473482	0.0004806766	0.003202472	3.057891	3.094208	14.141503	3.051052	22.688429	17.791056	20.353651	33.713985	26.537863
REXO1	-1.910668	1.910668	4.315589	-6.829697	0.0001006603	0.001076496	1.802084	2.634612	6.904102	1.55853	13.69252	13.83002	13.776806	18.691862	13.858188
PTGDS	1.90896	1.90896	2.941118	5.533931	0.0004460527	0.003054621	4.583881	3.050694	4.726269	12.486816	0	0	0.01703	0	0
ME1	1.907676	1.907676	2.598058	8.198898	2.57E-05	0.0004359599	5.635817	10.451898	7.298507	3.028995	0.013925	0	0.0137	0.028528	0
SLCO4A1	-1.905338	1.905338	3.601478	-8.881782	1.39E-05	0.0002997787	1.586863	0.729826	1.69793	1.761083	8.020127	8.403668	8.91385	10.262522	9.586197
HAUS3	1.905325	1.905325	3.572114	7.218781	6.69E-05	0.0008164437	8.89201	19.695801	11.385997	7.096361	1.17679	1.230903	1.062213	0.305109	0.778619
ZHX1	1.905024	1.905024	3.781568	7.583887	4.63E-05	0.0006405804	5.687816	18.895634	13.803702	8.839201	0.911104	1.220967	0.821614	0.554845	0.856239
TUBB4B	-1.904861	1.904861	11.00087	-9.452596	8.54E-06	0.0002297286	79.652306	68.355156	116.59478	135.758057	465.672791	518.644836	476.766479	551.123901	472.283417
CABLES2	-1.90372042462727	1.90372042462727	4.21121445344465	-6.03340753186901	0.000245058559054	0.0019803857833	2.212959	3.81955	3.75447	0.848257	12.287826	13.214453	13.904315	12.441416	12.958068
PTGR1	1.903233	1.903233	2.517473	11.05268	2.48E-06	0.0001231069	4.698304	6.738794	6.062913	6.254277	0.060178	0.059623	0.056319	0.051813	0.055187
LONP2	1.902254	1.902254	4.846555	16.54065	9.27E-08	4.38E-05	11.96808	25.363205	22.328249	22.061909	2.039733	2.423389	2.948931	3.148757	2.529291
CCM2L	-1.899595	1.899595	2.056019	-10.72783	3.14E-06	0.000137882004532	0	0	0.160417	0.293035	4.2742	3.20729	3.514859	3.711031	2.297471
ABCA1	1.89907027860657	1.89907027860657	2.61740135881955	12.6702095362234	8.24E-07	7.55E-05	6.602073	6.534616	6.533244	5.611757	0.116559	0.067047	0.114852	0.099785	0.102775
CABP2	-1.89752101929479	1.89752101929479	1.98023478517875	-6.81557034298785	0.000102194895272	0.001086798158979	0	0	0	0	2.140333	1.460897	2.465646	4.490973	3.964463
TMEM189-UBE2V1	-1.895955	1.895955	2.827252	-3.139953	0.01280338	0.03632674	0	0	0	5.143331	5.552296	4.705421	7.862308	8.022068	6.099108
SPDYE2B	1.895722	1.895722	2.472785	3.299104	0.0100001	0.03009031	5.240609	17.430866	18.187162	0.584825	0.137882	0	0.001539	0.002312	0
IQSEC3	-1.895534	1.895534	2.245166	-12.13377	1.17E-06	8.51E-05	0	0.150416	0.238482	0	3.088696	4.769468	2.878305	3.502805	2.355633
NPL	-1.89549	1.89549	3.922266	-14.50722	2.73E-07	5.52E-05	0.761921	2.566683	2.807547	1.867314	11.959415	11.569844	10.84116	10.523537	11.446653
C9orf64	-1.89412096528302	1.89412096528302	3.55757636306954	-10.7437173447444	3.11E-06	0.000137217705773	0.507785	2.086245	2.530659	1.043489	8.251078	9.808412	8.811996	7.590236	9.143993
POLR2J2	1.893457	1.893457	3.194986	6.082643	0.0002314172	0.001895969	7.052003	7.834832	16.243902	7.23104	1.366368	1.15273	0.101226	0.761177	0
CKMT1B	-1.892295	1.892295	4.81037	-10.28952	4.38E-06	0.000165609778132	2.431974	3.148675	2.716868	2.288216	16.304931	17.2173	13.321414	17.059478	14.133159
MAST1	-1.891526	1.891526	4.725514	-8.235159	2.48E-05	0.0004261199	1.750011	3.713143	6.214238	3.13703	17.217223	16.457479	15.963855	26.984096	17.973652
KIAA1324L	1.891319	1.891319	2.809544	8.567967	1.83E-05	0.0003556707	5.901184	7.208662	5.620099	8.547738	0.136353	0.248375	0.185597	0.174304	0.248719
C9orf69	1.8907787430088	1.8907787430088	3.07462464309843	3.19854779928971	0.011686323780053	0.033915036029963	6.402014	3.235635	12.233855	18.720011	3.394192	0.972642	0	0.563113	0
TPPP3	1.889243	1.889243	4.8488	3.567072	0.006639591	0.02214137	32.942903	10.999649	8.172635	55.853795	2.891778	3.327175	2.443479	4.20868	2.919694
CDKN2C	-1.889023	1.889023	5.714991	-13.83405	4.03E-07	6.03E-05	3.330778	7.269801	9.071018	8.409154	40.323116	43.640035	34.444122	33.315527	32.205152
TLN2	-1.887194	1.887194	4.675716	-6.561231	0.0001347236	0.001315418	1.475255	5.086744	5.961814	1.712455	14.823278	17.164933	16.446017	18.037552	15.21817
PTPRZ1	1.886382	1.886382	2.986204	6.474946	0.0001482202	0.001394607	10.119321	5.395793	3.696487	7.220876	0.21237	0.193734	0.095231	0.141091	0.119665
ANKRD36B	1.88630853395662	1.88630853395662	4.31653024561656	4.43799421933579	0.001874735226344	0.008601661917601	6.150186	35.987083	19.293787	11.768387	3.998748	2.804424	1.009887	1.161098	1.450593
NME1	1.88618	1.88618	9.212352	7.107567	7.51E-05	0.0008749139	132.736746	198.882434	265.576145	329.236942	76.842603	25.601433	39.502177	60.363251	40.839691
TMEM140	1.885756	1.885756	2.386726	13.90283	3.87E-07	5.91E-05	5.365524	5.207417	7.053751	4.648873	0	0	0.011394	0	0
CLSPN	-1.885069	1.885069	4.827924	-5.296923	0.0005997049	0.003775682479913	4.833304	5.686509	3.943671	1.735524	18.758259	18.451982	27.544162	15.807044	18.56773
OBSL1	1.885023	1.885023	4.348742	6.406035	0.0001600668	0.001467123	9.067369	11.453032	23.55924	27.438105	2.036989	2.262212	1.714843	2.47121	1.449213
SHANK1	-1.884741	1.884741	2.321609	-10.2882	4.38E-06	0.0001656098	0.083055	0.147858	0.333353	0.419696	3.850241	3.291522	3.707556	5.163627	3.389716
NRP1	1.883351	1.883351	2.334039	6.156805	0.0002124132	0.001790242	3.597695	4.384444	4.64206	8.702006	0	0	0	0.007431	0.007509
CDH6	1.882102	1.882102	1.936146	4.044434	0.003276001	0.012912635120165	8.135312	2.24414	1.929524	7.950187	0	0	0.00873	0	0.023581
N4BP2L2	1.881733	1.881733	6.02852	8.550139	1.86E-05	0.0003587236	22.72408	55.731227	34.489441	33.878734	6.54317	5.487146	5.970102	5.231253	6.643828
WDR76	-1.87961	1.87961	5.166732	-7.141244	7.25E-05	0.0008544567	4.954116	3.509458	2.092508	7.348257	22.55259	24.017359	25.28542	23.311932	24.934041
ARHGAP20	-1.87913400849917	1.87913400849917	2.55854714608006	-6.20570142474452	0.00020082128132	0.001716486577549	0.165791	0.61985	0.415847	0.457292	7.1679	2.663195	6.459026	2.121905	5.968716
RAI14	1.877456	1.877456	5.47388	5.081052	0.0007906759	0.004556683	21.878575	66.95427	44.090845	12.851366	5.885235	4.108009	4.628088	4.118552	4.754009
GLCE	-1.87735	1.87735	6.975898	-10.47186	3.81E-06	0.0001548463	11.010687	10.974085	8.398052	18.928198	72.374521	62.597781	71.513059	65.77114	72.902639
VIPR2	1.877096	1.877096	2.278508	6.635056	0.0001242427	0.001246394	2.289841	4.776873	8.041299	7.831985	0.008512	0.008334	0	0	0
ATL3	1.87543140041524	1.87543140041524	3.6515694709776	15.3499792064086	1.72E-07	4.69E-05	8.383868	16.447727	15.199897	10.346716	0.937303	0.93779	1.395281	0.922379	1.137869
MRPL22	-1.874839	1.874839	5.013067	-6.50211	0.0001438177	0.001366007	3.004122	7.991297	5.84383	1.979698	23.630164	25.865462	17.081427	23.113102	20.689277
MBOAT1	-1.873581	1.873581	3.220169	-5.154491	0.0007191704	0.004263459	0.930849	0.402776	0.440078	3.231681	7.681804	6.471699	7.913417	8.533982	8.688247
LONRF2	1.873116	1.873116	2.46896	10.09008	5.11E-06	0.000176151	5.388293	7.456189	4.853242	5.067487	0.091281	0.048906	0.047364	0.037164	0.040301
INHBE	-1.872797	1.872797	2.719993	-9.433627	8.68E-06	0.0002311815	0.141371	0.401164	0.388554	1.445319	6.87429	5.135298	4.818222	5.679647	4.509504
RAB3A	-1.871438	1.871438	5.255644	-2.995441	0.01605912	0.04331137	2.41364	11.032819	10.851543	0.576065	18.071061	19.455758	18.393384	24.519028	19.885819
SRPX	1.870044	1.870044	1.894262	9.130907	1.12E-05	0.0002663673	2.669917	7.721513	5.72093	4.239871	0	0	0	0	0.052738
RAP1GAP2	-1.869682	1.869682	3.526298	-8.048304	2.96E-05	0.0004748834	1.116067	1.172582	1.542419	1.186895	5.29886	6.694838	8.932162	9.993707	8.41995
COL2A1	1.868721	1.868721	2.750832	3.463848	0.007766206	0.024918739833966	14.512559	1.559095	2.737126	12.13031	0.143768	0.027606	0.060031	0.108618	0.131469
HIST2H2BE	1.868652	1.868652	7.184033	9.080774	1.17E-05	0.0002736089	96.160522	53.854256	62.336243	87.340576	14.144794	12.640872	13.717982	14.660646	13.643494
MBNL2	1.868222	1.868222	3.673658	5.525638	0.0004506379	0.003074044	5.603082	23.957758	16.984503	4.952749	0.616216	0.723177	0.71589	0.628731	1.099746
OLFM1	-1.86795	1.86795	7.522276	-7.445802	5.32E-05	0.0006997401	17.836775	12.691698	9.22004	29.124953	81.581413	88.457139	87.110853	110.781104	86.663324
HEBP2	1.866923	1.866923	4.238075	9.566173	7.78E-06	0.0002185597	12.040576	14.996889	15.575166	19.249115	2.180662	1.990825	1.845843	1.84179	1.404999
ANKRD6	1.86683130741576	1.86683130741576	3.04480167141331	3.73435283229149	0.00516533867281	0.018260311279396	11.483149	4.221133	2.928471	18.405244	0.468056	0.403963	0.4285	0.552999	0.248562
PKMYT1	-1.866496	1.866496	4.596211	-5.042115	0.0008316879	0.004716902	3.56165	1.066628	5.262245	6.262743	21.843644	16.406717	18.922197	22.241071	17.684938
CNOT3	-1.866073	1.866073	4.910859	-3.019783	0.01545575	0.042059546065289	3.021853	11.488419	11.649626	0.436916	16.462726	16.684334	18.172858	30.687142	21.010464
CCDC8	1.864616	1.864616	2.90266	6.087966	0.000229993	0.001888756179988	7.983292	4.706259	8.065136	11.708389	0.379176	0.432776	0.269512	0.492662	0.339022
SNCA	1.863312	1.863312	2.254649	9.707172	6.93E-06	0.0002068073	5.834478	5.120099	4.817958	5.202306	0	0	0.051361	0.010695	0.071588
FAM65A	-1.860024	1.860024	5.396514	-4.084461	0.003092043	0.01244581	2.433638	11.487247	11.600012	1.642958	24.665596	23.938022	22.913851	32.793916	22.348219
ZFHX4	1.859291	1.859291	3.463515	6.571782	0.000133168	0.001305096	6.940239	24.903267	15.669086	4.586463	0.645313	0.789674	0.926415	0.818425	0.737793
